REC_ID,MAINROAD,CROSSROAD,latitude,longitude,IMAGEURL
8221,BAYVIEW AVE,ROSEDALE VALLEY RD,43.6700879052613,-79.3602066910709,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8221.jpg
8222,BAYVIEW AVE,ROSEDALE VALLEY RD,43.6702507344075,-79.3604163055408,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8222.jpg
8223,BAYVIEW AVE,POTTERY RD,43.6881625336124,-79.3635193843526,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8223.jpg
8224,BAYVIEW AVE,POTTERY RD,43.6877914735415,-79.3634746152559,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8224.jpg
8225,EGLINTON AVE W,ROYAL YORK RD,43.6822823169248,-79.5262258698008,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8225.jpg
8226,EGLINTON AVE W,SCARLETT RD,43.6838620012644,-79.5110450049756,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8226.jpg
8227,EGLINTON AVE W,ISLINGTON AVE,43.6797876707112,-79.538777842106,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8227.jpg
8228,QUEENS PARK,QUEENS PARK CRES W,43.6664589982731,-79.3933573019622,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8228.jpg
8229,QUEENS PARK,HOSKIN AVE,43.6651000023273,-79.3941209922341,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8229.jpg
8230,QUEENS PARK CRES E,WELLESLEY ST,43.6635840038797,-79.3906480060688,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8230.jpg
8231,EGLINTON AVE W,KIPLING AVE,43.6770409938542,-79.5510899939112,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8231.jpg
8232,YONGE ST,BERWICK AVE,43.7040269976501,-79.3976580052819,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8232.jpg
8233,MOUNT PLEASANT RD,BROADWAY AVE,43.7110320003666,-79.3913460026811,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8233.jpg
8234,YONGE ST,BROADWAY AVE / MONTGOMERY AVE,43.7095019969611,-79.3990990096539,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8234.jpg
8235,MOUNT PLEASANT RD,SOUDAN AVE,43.7059930403243,-79.3893795767421,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8235.jpg
8236,PARLIAMENT ST,MILL ST,43.6501020067014,-79.3621960052269,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8236.jpg
8237,CHERRY ST,EASTERN AVE,43.6538780040335,-79.3583589957559,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8237.jpg
8238,CHERRY ST,MILL ST,43.6513330022476,-79.3573790018332,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8238.jpg
8241,DUFFERIN ST,SASKATCHEWAN RD / BRITISH COLUMBIA RD,43.6326860020577,-79.4249289918329,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8241.jpg
8248,SPADINA AVE,CLARENCE SQ,43.6433479983208,-79.394172997367,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8248.jpg
8249,EGLINTON AVE E,HOLLY ST,43.7070739969293,-79.3967430005501,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8249.jpg
8250,FINCH AVE E,DORIS AVE,43.7802480021657,-79.4133669971215,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8250.jpg
8252,BRITISH COLUMBIA RD,YUKON PL / PRIVATE ACCESS,43.6316229981203,-79.4272779992321,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8252.jpg
8253,DUNDAS ST W,BATHURST ST,43.6523110026444,-79.4060219932683,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8253.jpg
8254,DUFFERIN ST,DUNDAS ST W,43.6496510050056,-79.4314530031817,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8254.jpg
8255,STRACHAN AVE,EAST LIBERTY ST / ORDNANCE ST,43.6392840009529,-79.4108700033671,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8255.jpg
8256,DUNDAS ST W,COLLEGE ST / ST HELEN'S AVE,43.6502809998322,-79.4410200023925,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8256.jpg
8257,QUEEN ST W,DOVERCOURT RD,43.6434819971058,-79.4223690072574,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8257.jpg
8258,QUEEN ST W,SHAW ST,43.6447009991392,-79.4162730002572,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8258.jpg
8259,BREMNER BLVD,NAVY WHARF CRT,43.6407460081365,-79.3914950081819,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8259.jpg
8260,STRACHAN AVE,WELLINGTON ST W / DOURO ST,43.6407580008455,-79.4114689982728,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8260.jpg
8261,DUFFERIN ST,LIBERTY ST / PRIVATE ACCESS,43.6370740010363,-79.4266540030886,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8261.jpg
8262,BREMNER BLVD,REES ST,43.640855999794,-79.3876230004413,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8262.jpg
8263,LIBERTY ST,HANNA AVE / EAST LIBERTY ST,43.6385680051435,-79.4197019966587,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8263.jpg
8264,FRONT ST W,BLUE JAYS WAY,43.6434210078596,-79.3912850050518,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8264.jpg
9100,DON VALLEY PARKWAY,EASTERN AVE,43.656846993807,-79.3524119952827,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9100.jpg
9101,DON VALLEY PARKWAY,DUNDAS ST E,43.6618990027157,-79.3547479999587,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9101.jpg
9102,DON VALLEY PARKWAY,PRINCE EDWARD VIADUCT / DANFORTH AVE,43.6719379994654,-79.3589880056487,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9102.jpg
9103,DON VALLEY PARKWAY,PRINCE EDWARD VIADUCT / BLOOR ST E,43.6815389966516,-79.3627990035328,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9103.jpg
9104,DON VALLEY PARKWAY S,LEASIDE BDGE,43.6934500073592,-79.3573090027233,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9104.jpg
9105,DON VALLEY PARKWAY,LEASIDE BDGE,43.698183000675,-79.3495169988887,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9105.jpg
9106,DON VALLEY PARKWAY S,DON MILLS RD,43.7005990065432,-79.33760500687,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9106.jpg
9108,DON VALLEY PARKWAY,SPANBRIDGE RD,43.7076860024448,-79.3313179946592,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9108.jpg
9109,DON VALLEY PARKWAY,SPANBRIDGE RD,43.7126170083698,-79.3250279902538,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9109.jpg
9110,DON VALLEY PARKWAY N,ST DENNIS DR,43.7180650056625,-79.3272860007317,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9110.jpg
9111,DON VALLEY PARKWAY,EGLINTON AVE E,43.7235310002238,-79.3299969948379,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9111.jpg
9112,WYNFORD DR,WYNFORD DVP N RUMP,43.7269910035716,-79.3300139955125,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9112.jpg
9113,DON VALLEY PARKWAY,CONCORDE GT,43.7309400013097,-79.3305190031422,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9113.jpg
9114,DON VALLEY PARKWAY N,LAWRENCE AVE E,43.7396720012104,-79.3318240037522,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9114.jpg
9115,DON VALLEY PARKWAY N,BROOKBANKS DR,43.7492470071044,-79.333251989374,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9115.jpg
9116,DON VALLEY PARKWAY N,YORK MILLS E DVP N RAMP,43.7579560075967,-79.3353700007091,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9116.jpg
9200,LAKE SHORE BLVD E,DON ROADWAY,43.6499680066663,-79.3492809942495,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9200.jpg
9201,F G GARDINER XY,PARLIAMENT ST,43.6477380054014,-79.3610430031224,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9201.jpg
9202,F G GARDINER XY,LOWER JARVIS ST,43.6456270004132,-79.3700230063546,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc9202.jpg
