camera_id,location,main_road,cross_road,latitude,longitude,image_url,image_size_kb
8093,DON MILLS RD & FINCH AVE E,DON MILLS RD,FINCH AVE E,43.792762001731,-79.3550520097319,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8093.jpg,123
8094,DON MILLS RD & STEELES AVE E,DON MILLS RD,STEELES AVE E,43.8112600069211,-79.3610460006792,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8094.jpg,127
8095,STEELES AVE E & WOODBINE AVE,STEELES AVE E,WOODBINE AVE,43.8137039955886,-79.3488000114673,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8095.jpg,147
8096,LESLIE ST & YORK MILLS RD,LESLIE ST,YORK MILLS RD,43.7531449989851,-79.360198007398,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8096.jpg,109
8097,LESLIE ST & 401 C E LESLIE ST RAMP / LESMILL RD,LESLIE ST,401 C E LESLIE ST RAMP / LESMILL RD,43.7639420028642,-79.3615929909876,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8097.jpg,119
8098,SHEPPARD AVE E & LESLIE ST,SHEPPARD AVE E,LESLIE ST,43.7719200032638,-79.3639080084236,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8098.jpg,142
8099,BAYVIEW AVE & POTTERY RD / PRIVATE ACCESS,BAYVIEW AVE,POTTERY RD / PRIVATE ACCESS,43.6831840090544,-79.3658519985922,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8099.jpg,163
8100,BAYVIEW AVE & ROSEDALE VALLEY RD,BAYVIEW AVE,ROSEDALE VALLEY RD,43.6703370023874,-79.3601799971434,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8100.jpg,141
8101,BAYVIEW AVE & POTTERY RD,BAYVIEW AVE,POTTERY RD,43.6881609987039,-79.3635229974919,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8101.jpg,102
8102,SHEPPARD AVE E & BAYVIEW AVE,SHEPPARD AVE E,BAYVIEW AVE,43.7665330068348,-79.3877150011279,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8102.jpg,174
8103,YONGE ST & LORD SEATON W YONGE RAMP,YONGE ST,LORD SEATON W YONGE RAMP,43.752454995724,-79.4078109962249,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8103.jpg,118
8104,SHEPPARD AVE & YONGE ST,SHEPPARD AVE,YONGE ST,43.7612890079355,-79.4110470003991,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8104.jpg,117
8105,BATHURST ST & FORT YORK BLVD,BATHURST ST,FORT YORK BLVD,43.6388950079082,-79.4008070060979,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8105.jpg,126
8106,SHEPPARD AVE W & BATHURST ST,SHEPPARD AVE W,BATHURST ST,43.75563800789,-79.4383290068312,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8106.jpg,192
8107,DUFFERIN ST & FINCH AVE W,DUFFERIN ST,FINCH AVE W,43.7689069954514,-79.4671819964424,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8107.jpg,27
8108,KEELE ST & ST CLAIR AVE W,KEELE ST,ST CLAIR AVE W,43.6724620027878,-79.4674010077901,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8108.jpg,150
8109,KEELE ST & STEELES AVE W,KEELE ST,STEELES AVE W,43.7814840033928,-79.494116999982,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8109.jpg,148
8110,BLACK CREEK DR & LAWRENCE AVE W,BLACK CREEK DR,LAWRENCE AVE W,43.7047710007162,-79.4941649937678,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8110.jpg,159
8111,RATHBURN RD & THE WEST MALL,RATHBURN RD,THE WEST MALL,43.6529010078677,-79.5722609993288,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8111.jpg,159
8112,RATHBURN RD & RENFORTH DR,RATHBURN RD,RENFORTH DR,43.6513690030528,-79.5792050011891,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8112.jpg,177
8113,BAY ST & QUEEN ST W,BAY ST,QUEEN ST W,43.6519740075906,-79.3816090020626,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8113.jpg,130
8114,BAY ST & QUEEN ST W,BAY ST,QUEEN ST W,43.651957002608,-79.382304995923,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8114.jpg,27
8115,QUEENS QUAY W & BAY ST / HARBOUR SQ,QUEENS QUAY W,BAY ST / HARBOUR SQ,43.641064998551,-79.3768619992521,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8115.jpg,107
8116,BLOOR ST W & KEELE ST / PARKSIDE DR,BLOOR ST W,KEELE ST / PARKSIDE DR,43.6547530021496,-79.4602409951327,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8116.jpg,112
8117,BLOOR ST W & KEELE ST / PARKSIDE DR,BLOOR ST W,KEELE ST / PARKSIDE DR,43.6545739976846,-79.4598189937303,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8117.jpg,173
8118,STEELES AVE W & DUFFERIN ST,STEELES AVE W,DUFFERIN ST,43.787509006058,-79.4699609892263,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8118.jpg,142
8119,DUNDAS ST W & THE WEST MALL,DUNDAS ST W,THE WEST MALL,43.6281209973391,-79.5594900029658,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8119.jpg,117
8120,ELLESMERE RD & BIRCHMOUNT RD,ELLESMERE RD,BIRCHMOUNT RD,43.7632260008421,-79.2915649999591,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8120.jpg,132
8121,MCCOWAN RD & ELLESMERE RD,MCCOWAN RD,ELLESMERE RD,43.771928005528,-79.2516109988249,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8121.jpg,118
8122,MARKHAM RD & ELLESMERE RD,MARKHAM RD,ELLESMERE RD,43.7764070076806,-79.2314420031863,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8122.jpg,177
8123,BROWNS LINE & EVANS BROWNS LN RAMP,BROWNS LINE,EVANS BROWNS LN RAMP,43.6091070005587,-79.5484940050549,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8123.jpg,139
8124,KIPLING AVE & EVANS AVE,KIPLING AVE,EVANS AVE,43.6160960061787,-79.5245580058068,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8124.jpg,151
8125,KEELE ST & FLORAL PKWY / 401 C E KEELE ST RAMP,KEELE ST,FLORAL PKWY / 401 C E KEELE ST RAMP,43.7214200027604,-79.4809789980109,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8125.jpg,133
8126,BAYVIEW AVE & 401 C E BAYVIEW RAMP,BAYVIEW AVE,401 C E BAYVIEW RAMP,43.7619370022874,-79.3867279956159,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8126.jpg,114
8127,VICTORIA PARK AVE & 401 C E VICTORIA PR RAMP,VICTORIA PARK AVE,401 C E VICTORIA PR RAMP,43.7669629980857,-79.3194100080628,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8127.jpg,152
8128,KEELE ST & SHEPPARD AVE W,KEELE ST,SHEPPARD AVE W,43.7447330060769,-79.4861479988486,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8128.jpg,145
8129,KEELE ST & WILSON AVE,KEELE ST,WILSON AVE,43.7266450111262,-79.4817630039992,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8129.jpg,148
8130,DUNDAS ST W & KEELE ST,DUNDAS ST W,KEELE ST,43.6653520055123,-79.4646509968386,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8130.jpg,141
8131,KING ST W & JAMESON AVE,KING ST W,JAMESON AVE,43.6371379936031,-79.4358309964034,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8131.jpg,142
8132,KING ST W & DUFFERIN ST,KING ST W,DUFFERIN ST,43.6389119994195,-79.4271710096162,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8132.jpg,185
8133,KING ST W & STRACHAN AVE,KING ST W,STRACHAN AVE,43.6421910016468,-79.4119000078303,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8133.jpg,146
8134,KING ST W & STRACHAN AVE,KING ST W,STRACHAN AVE,43.6419490057919,-79.4120949972405,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8134.jpg,177
8135,KING ST W & BATHURST ST,KING ST W,BATHURST ST,43.6440469982846,-79.402860999446,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8135.jpg,164
8136,KING ST W & BATHURST ST,KING ST W,BATHURST ST,43.6439290054442,-79.4029530009815,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8136.jpg,27
8137,SPADINA AVE & KING ST W,SPADINA AVE,KING ST W,43.6453609951093,-79.395231003285,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8137.jpg,27
8138,SPADINA AVE & KING ST W,SPADINA AVE,KING ST W,43.6453960063821,-79.3947659987253,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8138.jpg,164
8139,O CONNOR DR & WOODBINE AVE,O CONNOR DR,WOODBINE AVE,43.6999420062013,-79.3191310017128,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8139.jpg,133
8140,O CONNOR DR & ST CLAIR AVE E,O CONNOR DR,ST CLAIR AVE E,43.7055150016748,-79.312571000791,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8140.jpg,141
8141,QUEEN ST W & LANSDOWNE AVE / JAMESON AVE,QUEEN ST W,LANSDOWNE AVE / JAMESON AVE,43.6405150072128,-79.4373439960441,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8141.jpg,132
8142,QUEEN ST W & DUFFERIN ST,QUEEN ST W,DUFFERIN ST,43.6421420052866,-79.428794998704,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8142.jpg,137
8143,QUEEN ST W & DUFFERIN ST,QUEEN ST W,DUFFERIN ST,43.6420979991384,-79.4286819972819,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8143.jpg,138
8144,QUEEN ST W & STRACHAN AVE,QUEEN ST W,STRACHAN AVE,43.6454130088093,-79.4131499993241,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8144.jpg,1158
8145,BATHURST ST & QUEEN ST W,BATHURST ST,QUEEN ST W,43.647310005401,-79.4041109891262,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8145.jpg,158
8146,SPADINA AVE & QUEEN ST W,SPADINA AVE,QUEEN ST W,43.6488800043283,-79.3961950042573,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8146.jpg,176
8147,UNIVERSITY AVE & KING ST W,UNIVERSITY AVE,KING ST W,43.647555002179,-79.3849740014843,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8147.jpg,129
8148,UNIVERSITY AVE & KING ST W,UNIVERSITY AVE,KING ST W,43.6475249990991,-79.3848919974713,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8148.jpg,166
8149,WILSON AVE & JANE ST,WILSON AVE,JANE ST,43.7207070016282,-79.5087459984177,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8149.jpg,144
8150,WILSON AVE & DUFFERIN ST,WILSON AVE,DUFFERIN ST,43.7321970018384,-79.4590859980371,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8150.jpg,160
8151,BATHURST ST & WILSON AVE,BATHURST ST,WILSON AVE,43.737227006117,-79.4341489903637,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8151.jpg,141
8152,AVENUE RD & WILSON AVE,AVENUE RD,WILSON AVE,43.7400770008769,-79.421493003537,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8152.jpg,143
8153,AVENUE RD & WILSON AVE,AVENUE RD,WILSON AVE,43.7397290023607,-79.4218310088276,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8153.jpg,120
8154,YONGE ST & YORK MILLS RD / WILSON AVE,YONGE ST,YORK MILLS RD / WILSON AVE,43.7443310020954,-79.4064699922825,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8154.jpg,160
8155,BAYVIEW AVE & YORK MILLS RD,BAYVIEW AVE,YORK MILLS RD,43.7482450084092,-79.3839669962013,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8155.jpg,27
8156,KINGSTON RD & LAWRENCE AVE E,KINGSTON RD,LAWRENCE AVE E,43.767875006471,-79.1891560041745,https://opendata.toronto.ca/transportation/tmc/rescucameraimages/CameraImages/loc8156.jpg,150
